player_name,pitcher,gs,n_pitches,velo,whiff,zone,tot_xrv,cPV_plus
Matthew Liberatore,669461,28,2386,88.67120704107293,0.0972338642078793,0.6512992455993294,2.5534987998330827,107.1
Bryan Baker,641329,0,1102,91.43756805807622,0.14882032667876588,0.6696914700544465,1.0751341439765876,106.6
Keegan Akin,669211,0,1058,89.94905482041588,0.13137996219281664,0.6578449905482041,1.0354877178481754,106.6
Enyel De los santos,660853,0,1105,92.05529411764707,0.15475113122171946,0.6606334841628959,1.0926630497759362,106.6
Pablo López,641154,14,1258,89.70620031796501,0.12559618441971382,0.6462639109697933,1.2039805997274526,106.5
Landen Roupp,694738,21,1851,85.83468395461912,0.11021069692058347,0.6293895191788222,1.768476947815522,106.5
Carlos Hernández,672578,0,759,92.7185770750988,0.13306982872200263,0.6482213438735178,0.7366818422591677,106.5
Kyle Hart,606996,5,691,86.20636758321274,0.08827785817655572,0.6410998552821997,0.6328038221029382,106.3
Tyler Rogers,643511,0,978,81.08609406952965,0.0869120654396728,0.7443762781186094,0.890343621848917,106.2
Abner Uribe,682842,0,1164,93.47697594501717,0.14518900343642613,0.6460481099656358,1.0456054568639896,106.2
Eury Pérez,691587,19,1673,91.68649133293485,0.14285714285714285,0.6425582785415421,1.5090234200056665,106.2
Jacob Webb,657097,0,978,88.04539877300613,0.1411042944785276,0.66359918200409,0.8782355789516895,106.2
Miles Mikolas,571945,31,2480,87.51552419354839,0.07903225806451612,0.6612903225806451,2.2169982143948106,106.1
Max Scherzer,453286,15,1390,88.54913669064749,0.11798561151079137,0.6647482014388489,1.225833576080483,106.1
Justin Wilson,458677,0,816,91.37095588235293,0.16053921568627452,0.6409313725490197,0.7066434985416952,106.0
Kody Funderburk,681892,0,725,89.50303448275862,0.0896551724137931,0.623448275862069,0.6313936054025018,106.0
Raisel Iglesias,628452,0,964,92.03236514522821,0.15975103734439833,0.6939834024896265,0.8198736777883214,105.9
Yusei Kikuchi,579328,33,3094,88.52336780866192,0.11376858435681965,0.6380090497737556,2.5090390664955606,105.7
David Festa,701581,11,882,90.49297052154195,0.14058956916099774,0.6428571428571429,0.6949345052102334,105.6
Riley O'brien,676617,0,758,92.488654353562,0.11081794195250659,0.6200527704485488,0.5881435987128104,105.5
Nic Enright,663671,0,532,90.23853383458646,0.13533834586466165,0.6372180451127819,0.41081557358618653,105.5
Nolan Mclean,690997,8,738,89.09634146341465,0.12059620596205962,0.6368563685636857,0.5275791569883018,105.2
Sean Burke,680732,28,2376,88.65029461279461,0.11784511784511785,0.622895622895623,1.664730294019409,105.2
Ryan Pressly,519151,0,645,89.18201550387597,0.08217054263565891,0.6372093023255814,0.4444121307935645,105.1
Taylor Clarke,664199,0,865,90.83734104046243,0.11098265895953757,0.6450867052023121,0.5919673610136948,105.1
Cade Cavalli,676917,10,788,92.46852791878172,0.1383248730964467,0.6624365482233503,0.5256813211037871,105.0
Braxton Ashcraft,677952,10,1102,92.52858439201452,0.13157894736842105,0.661524500907441,0.7218254183212158,104.9
Aaron Ashby,676879,2,1033,91.61703775411422,0.1132623426911907,0.6243949661181026,0.6665342998507107,104.9
Mason Englert,669438,1,724,88.77417127071823,0.12430939226519337,0.664364640883978,0.46849861186784614,104.9
Brad Lord,695418,19,2127,91.63925716972263,0.10625293841090738,0.6469205453690644,1.3774986664021267,104.9
Gordon Graceffo,700669,2,756,90.55621693121694,0.1111111111111111,0.6402116402116402,0.47957172409569643,104.8
Robert Garcia,676395,0,972,90.85092592592594,0.14609053497942387,0.6862139917695473,0.5874199987490003,104.7
Aaron Bummer,607481,2,932,85.78229613733906,0.09871244635193133,0.6427038626609443,0.5657277202537112,104.7
Austin Gomber,596295,12,999,83.10940940940941,0.07807807807807808,0.6606606606606606,0.6169892343031943,104.7
Mason Montgomery,682254,0,859,95.68218859138533,0.18277066356228172,0.6507566938300349,0.5064613381947971,104.6
Ronny Henriquez,678692,0,1158,90.50587219343696,0.17789291882556132,0.6502590673575129,0.6627049231855089,104.5
John Schreiber,670167,0,1047,89.49321872015281,0.11174785100286533,0.6446991404011462,0.5224310445637844,104.1
Anthony Bender,669622,0,783,88.42988505747127,0.08556832694763729,0.6526181353767561,0.3727161781395898,104.0
Cam Booser,592155,0,571,89.09772329246935,0.14185639229422067,0.6287215411558669,0.2604035904124015,103.9
Rafael Montero,606160,0,1088,90.96985294117647,0.13786764705882354,0.6075367647058824,0.4891694061120195,103.9
Carlos Rodón,607074,33,3212,89.57319427148194,0.13792029887920298,0.6257783312577833,1.4660953322355643,103.9
Collin Snider,676092,0,477,87.27693920335429,0.11949685534591195,0.6855345911949685,0.2193453824469223,103.9
Michael Wacha,608379,30,2665,86.5948592870544,0.1073170731707317,0.6551594746716698,1.204959990085258,103.9
John Brebbia,605154,0,459,88.26122004357299,0.09368191721132897,0.6492374727668845,0.19887878943932868,103.8
Luis Castillo,622491,32,2988,91.9131860776439,0.12684069611780455,0.6519410977242303,1.2341541503367883,103.7
Brandon Young,687064,12,939,87.94355697550586,0.10436634717784878,0.650692225772098,0.36604072885472233,103.6
